Titre;Date de sortie;Plateformes;Genres;Mode de jeu;Développeur;Éditeur;Franchise;Note Moyenne
The Star Named Eos;2024;Mac, PC;;;;;;(3.88 average Grouvee user rating)
Kingdom Rush 5: Alliance TD;2024;PC;;;;;;(3.63 average Grouvee user rating)
Star Trucker;2024;PC;;;;;;(2.38 average Grouvee user rating)
NBA 2K25;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.38 average Grouvee user rating)
Batman: Arkham Shadow;2024;Meta Quest;;;;;;(4.13 average Grouvee user rating)
Kill Knight;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.25 average Grouvee user rating)
Unknown 9: Awakening;2024;Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(2.50 average Grouvee user rating)
Tetris Forever;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(4.13 average Grouvee user rating)
Bandle Tale: A League of Legends Story;2024;Nintendo Switch;;;;;;(2.86 average Grouvee user rating)
Summerhouse;2024;PC;;;;;;(3.14 average Grouvee user rating)
Jujutsu Kaisen: Cursed Clash;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(1.86 average Grouvee user rating)
Dicefolk;2024;Nintendo Switch, PC;;;;;;(3.00 average Grouvee user rating)
Llamasoft: The Jeff Minter Story;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.86 average Grouvee user rating)
Endless Ocean Luminous;2024;Nintendo Switch;;;;;;(2.71 average Grouvee user rating)
The Rogue Prince of Persia;2024;PC;;;;;;(2.43 average Grouvee user rating)
Master Key;2024;Linux, Mac, PC;;;;;;(2.29 average Grouvee user rating)
CLICKOLDING;2024;PC;;;;;;(1.86 average Grouvee user rating)
Yars Rising;2024;Atari VCS, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating)
Wilmot Works It Out;2024;Mac, PC;;;;;;(4.43 average Grouvee user rating)
The Jackbox Survey Scramble;2024;Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.43 average Grouvee user rating)
[Redacted];2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.71 average Grouvee user rating)
Pokemon Trading Card Game Pocket;2024;Android, iPhone;;;;;;(3.86 average Grouvee user rating)
Strinova;2024;PC;;;;;;(2.57 average Grouvee user rating)
Legacy of Kain: Soul Reaver 1 & 2 Remastered;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(3.57 average Grouvee user rating)
Desvelado;2024;PC;;;;;;(4.33 average Grouvee user rating)
Expeditions: A MudRunner Game;2024;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S;;;;;;(2.00 average Grouvee user rating)
The Mobius Machine;2024;PC, PlayStation 5, Xbox Series X|S;;;;;;(3.00 average Grouvee user rating)
