Titre;Identifiant unique;Date de sortie;;Développeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Hot Lap Racing;https://www.grouvee.com/games/103001-hot-lap-racing/;Jul 16, 2024;;Zero Games Studios;Maximum Entertainment;Driving/Racing , Simulation , Sports;;0;Nintendo Switch, PC
Mech Builder;https://www.grouvee.com/games/102641-mech-builder/;Jul 16, 2024;;;;Puzzle , Simulation;;0;PC
Brazen Blaze;https://www.grouvee.com/games/100885-brazen-blaze/;Jul 18, 2024;;MyDearest Inc.;MyDearest Inc.;Action , Fighting;;0;Meta Quest
Meifumado;https://www.grouvee.com/games/100801-meifumado/;Jul 18, 2024;;;;;;0;
Over Horizon + Steel Empire;https://www.grouvee.com/games/100298-over-horizon-steel-empire/;Jul 18, 2024;;Hot-B Co., Ltd. , Mebius , Starfish;Inin Games;Compilation , Shoot 'Em Up;;0;Nintendo Switch, PlayStation 4
Powerful Pro Yakyū 2024-2025;https://www.grouvee.com/games/99127-powerful-pro-yakyu-2024-2025/;Jul 18, 2024;;Pawapuro Production;Konami Corporation;Baseball;Jikkyou Powerful Pro Yakyuu;0;Nintendo Switch, PlayStation 4
Escape from Ever After: Onboarding;https://www.grouvee.com/games/100139-escape-from-ever-after-onboarding/;Jul 19, 2024;;Sleepy Castle Studio;HypeTrain Digital;Role-Playing;;0;PC
Krypta FM;https://www.grouvee.com/games/100871-krypta-fm/;Jul 19, 2024;;Under The Sink Studio;Under The Sink Studio;Adventure;;0;PC
Taxi Rush;https://www.grouvee.com/games/102666-taxi-rush/;Jul 19, 2024;;Clap Games;Clap Games;Action , Driving/Racing;;0;PC
Toree's Panic Pack;https://www.grouvee.com/games/101336-torees-panic-pack/;Jul 19, 2024;;Diplodocus , Siactro , kalliros;Siactro;Compilation , Platformer;Toree;0;Nintendo Switch, PC
DC Task force;https://www.grouvee.com/games/102741-dc-task-force/;Jul 24, 2024;;;;Brawler;;0;PC
Dreamsweeper;https://www.grouvee.com/games/100373-dreamsweeper/;Jul 24, 2024;;Etherlight , Oatmello;Etherlight;Puzzle , Role-Playing;;0;Mac, PC
Enchantment 2 Suns Tear;https://www.grouvee.com/games/102448-enchantment-2-suns-tear/;Jul 24, 2024;;Seven Sails;Seven Sails;Puzzle;;0;PC
Farlands;https://www.grouvee.com/games/100497-farlands/;Jul 24, 2024;;Eric Rodríguez , JanduSoft;JanduSoft;Simulation;;0;PC
Anpanman Touch de Enjoy! AIUEO Kyōshitsu for Nintendo Switch;https://www.grouvee.com/games/100940-anpanman-touch-de-enjoy-aiueo-kyoshitsu-for-nintendo-switch/;Jul 25, 2024;;Agatsuma Entertainment;Pinocchio;Educational;Anpanman;0;Nintendo Switch
Ao Oni -Ai's Story-;https://www.grouvee.com/games/101071-ao-oni-ais-story/;Jul 25, 2024;;;;Action , Adventure , Horror;;0;Nintendo Switch, PC
Crash Time - Undercover;https://www.grouvee.com/games/102342-crash-time-undercover/;Jul 25, 2024;;Synetic GmbH;;Action , Driving/Racing;;0;PC
Cyber Internet Club Simulator;https://www.grouvee.com/games/102369-cyber-internet-club-simulator/;Jul 25, 2024;;EchoVerse Core;Midnight Games;Simulation;;0;PC
Game of Thrones: Legends;https://www.grouvee.com/games/101996-game-of-thrones-legends/;Jul 25, 2024;;Zynga;Zynga;Puzzle , Role-Playing;Game of Thrones;0;Android, iPhone
Kemco RPG Selection Vol. 12;https://www.grouvee.com/games/100884-kemco-rpg-selection-vol-12/;Jul 25, 2024;;Kemco;Exe-Create;Compilation , Role-Playing;Kemco RPG Selection;0;PlayStation 4, PlayStation 5
The Legend of the Dragonflame High School 3;https://www.grouvee.com/games/100923-the-legend-of-the-dragonflame-high-school-3/;Jul 25, 2024;;Hunters;Hunters;Brawler;The Legend of the Dragonflame High School;0;Nintendo Switch
Abnormal1999;https://www.grouvee.com/games/102151-abnormal1999/;Jul 26, 2024;;;;Adventure , Puzzle , Simulation;;0;PC
Abnormal1999 Sector 49;https://www.grouvee.com/games/102155-abnormal1999-sector-49/;Jul 26, 2024;;;;Adventure , Puzzle;;0;PC
Ariel;https://www.grouvee.com/games/102262-ariel/;Jul 27, 2024;;;;Action , Adventure , First-Person Shooter , Simulation;;0;PC
Space for Sale;https://www.grouvee.com/games/94036-space-for-sale/;Jul 30, 2024;;Mirage Game Studios;Mirage Game Studios , Nordic Games Publishing AB;Simulation;;0;PC
The Dragon Prince: Xadia;https://www.grouvee.com/games/100504-the-dragon-prince-xadia/;Jul 30, 2024;;Wonderstorm;Netflix;Action , Role-Playing;;0;Android, iPad, iPhone
Dawnmaker;https://www.grouvee.com/games/99022-dawnmaker/;Jul 31, 2024;;Arpentor Studio;Arpentor Studio;Strategy;;0;Linux, PC
Tokyo Chronos & Altdeus: Beyond Chronos Twin Pack;https://www.grouvee.com/games/101330-tokyo-chronos-altdeus-beyond-chronos-twin-pack/;Jul 31, 2024;;Izanagi Games Co., Ltd. , MyDearest Inc.;Izanagi Games Co., Ltd.;Adventure;Chronos series;0;Nintendo Switch
Closer the Distance;https://www.grouvee.com/games/102222-closer-the-distance/;Aug 2, 2024;;Osmotic Studios;;Simulation;;0;PC
Total Extreme Wrestling IX;https://www.grouvee.com/games/102437-total-extreme-wrestling-ix/;Aug 3, 2024;;Grey Dog Software;Grey Dog Software;Simulation , Wrestling;Extreme Warfare;0;PC
Orbals;https://www.grouvee.com/games/101802-orbals/;Aug 4, 2024;;;;;;0;Nintendo Switch, PC, PlayStation 4, Xbox One, Xbox Series X|S
Power Rangers Mighty Force;https://www.grouvee.com/games/101890-power-rangers-mighty-force/;Aug 5, 2024;;East Side Games;East Side Games;Action;Power Rangers;0;Android, iPhone
Violent Horror Stories: Anthology;https://www.grouvee.com/games/101857-violent-horror-stories-anthology/;Aug 6, 2024;;;;Action , Horror , Puzzle , Simulation;;0;PC
Dungeons & Degenerate Gamblers;https://www.grouvee.com/games/102564-dungeons-degenerate-gamblers/;Aug 8, 2024;;Purple Moss Collectors;The Yogscast;Card Game;;0;Linux, Mac, PC
JDM: Rise of the Scorpion;https://www.grouvee.com/games/102406-jdm-rise-of-the-scorpion/;Aug 8, 2024;;Gaming Factory S.A.;Gaming Factory S.A.;Driving/Racing , Simulation , Sports;;0;PC
That Time I Got Reincarnated as a Slime ISEKAI Chronicles;https://www.grouvee.com/games/101355-that-time-i-got-reincarnated-as-a-slime-isekai-chronicles/;Aug 8, 2024;;ZOC Co.,Ltd.;Namco Bandai Games Inc.;Role-Playing;That Time I Got Reincarnated as a Slime;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Train Valley World;https://www.grouvee.com/games/101679-train-valley-world/;Aug 9, 2024;;Flazm Interactive;tinyBuild;Simulation , Strategy;;0;Mac, PC
Vladik Brutal;https://www.grouvee.com/games/102134-vladik-brutal/;Aug 9, 2024;;Narko Games;;First-Person Shooter;;0;PC
FOOTAGE BODYCAM;https://www.grouvee.com/games/102708-footage-bodycam/;Aug 12, 2024;;;;Action , First-Person Shooter , Strategy;;0;PC
CYBERMATRIX;https://www.grouvee.com/games/101594-cybermatrix/;Aug 13, 2024;;TIM entertainment;TIM entertainment;Action;;0;PC
Dark and Deep;https://www.grouvee.com/games/101010-dark-and-deep/;Aug 13, 2024;;Walter Woods;Walter Woods;Adventure;;0;PC
Backrooms The Labyrinth;https://www.grouvee.com/games/102273-backrooms-the-labyrinth/;Aug 14, 2024;;;;Action-Adventure , Simulation;;0;PC
DIMENSIONS - DEFINITIVE EDITION;https://www.grouvee.com/games/102410-dimensions-definitive-edition/;Aug 14, 2024;;Villano Wild Studio;Villano Wild Studio;Action , Adventure , Shooter;;0;PC
Hellbreach: Vegas;https://www.grouvee.com/games/102934-hellbreach-vegas/;Aug 14, 2024;;Infinity Ape Studios;Iceberg Interactive;First-Person Shooter;;0;PC
Memento Mori;https://www.grouvee.com/games/102673-memento-mori/;Aug 14, 2024;;;;Adventure , Simulation;;0;PC
Pub Sim;https://www.grouvee.com/games/100952-pub-sim/;Aug 14, 2024;;1st Impact Games;;Simulation;;0;PC
Cyborg3003;https://www.grouvee.com/games/102374-cyborg3003/;Aug 15, 2024;;Rodrigo Banzato;Rodrigo Banzato;Action , Adventure;;0;PC
Dawn of Defiance;https://www.grouvee.com/games/100843-dawn-of-defiance/;Aug 15, 2024;;Traega Entertainment;Traega Entertainment;Action-Adventure;;0;PC
The Precinct;https://www.grouvee.com/games/97212-the-precinct/;Aug 15, 2024;;Fallen Tree Games;Kwalee;Action , Simulation;;0;PC
House Of Golf 2;https://www.grouvee.com/games/101974-house-of-golf-2/;Aug 16, 2024;;;;Sports;;0;PC
Tiebreak: The Official Game of the ATP and WTA;https://www.grouvee.com/games/101658-tiebreak-the-official-game-of-the-atp-and-wta/;Aug 19, 2024;;Big Ant Studios Pty Ltd;Bigben Interactive GmbH;Tennis;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Inti Creates Gold Archive Collection;https://www.grouvee.com/games/100981-inti-creates-gold-archive-collection/;Aug 20, 2024;;Inti Creates Co., Ltd.;Inti Creates Co., Ltd.;Compilation;;0;Nintendo Switch
Harlots Diary;https://www.grouvee.com/games/102931-harlots-diary/;Aug 23, 2024;;;;Puzzle , Simulation , Strategy;;0;Linux, PC
Echoes of The Backrooms;https://www.grouvee.com/games/102438-echoes-of-the-backrooms/;Aug 24, 2024;;;;Adventure , Horror;;0;PC
Commando Hero 2 First Blood;https://www.grouvee.com/games/102336-commando-hero-2-first-blood/;Aug 26, 2024;;Montee Games;Montee Games;Action-Adventure , Shooter;;0;PC
False Mall;https://www.grouvee.com/games/102850-false-mall/;Aug 26, 2024;;;;Adventure , Puzzle;;0;PC
GENBA no Kizuna;https://www.grouvee.com/games/102857-genba-no-kizuna/;Aug 26, 2024;;;;Adventure , Visual Novel;;0;Linux, Mac, PC
Difference;https://www.grouvee.com/games/102403-difference/;Aug 28, 2024;;;;Action , Adventure , Horror , Puzzle;;0;PC
Ninza;https://www.grouvee.com/games/101068-ninza/;Aug 28, 2024;;Klakmioch;Klakmioch;Fighting , Platformer;;0;PC
Death in Unison;https://www.grouvee.com/games/101789-death-in-unison/;Aug 29, 2024;;Blank Dream Studios;Blank Dream Studios;Simulation;;0;PC
Forklift Simulator;https://www.grouvee.com/games/102726-forklift-simulator/;Aug 29, 2024;;;AEROSOFT Corporation;Simulation;;0;PC
Leo: The Firefighter Cat;https://www.grouvee.com/games/102031-leo-the-firefighter-cat/;Aug 29, 2024;;Honikou;Maximum Games;Adventure , Platformer , Shooter , Simulation;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Date Z;https://www.grouvee.com/games/102544-date-z/;Aug 30, 2024;;Mass Creation;We Dig Games;Adventure , Role-Playing , Simulation;;0;Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Forest God;https://www.grouvee.com/games/101064-forest-god/;Aug 30, 2024;;;Mikomp Inc;;;0;PC
Thalamus Collection 1;https://www.grouvee.com/games/99643-thalamus-collection-1/;Aug 30, 2024;;Thalamus;Thalamus;Compilation;;0;Evercade
Yarimono;https://www.grouvee.com/games/101169-yarimono/;Aug 30, 2024;;;;Adventure , Role-Playing;;0;PC
Wukong's Child: Monkey King Myth;https://www.grouvee.com/games/101460-wukongs-child-monkey-king-myth/;Sep 2, 2024;;;;Action;;0;Nintendo Switch, Xbox One, Xbox Series X|S
Wukong's Child: Monkey King Myths;https://www.grouvee.com/games/101474-wukongs-child-monkey-king-myths/;Sep 2, 2024;;Mubis Apps;Kanuni Games , Mubis Apps;Action;;0;Nintendo Switch, Xbox One
Parcel Corps;https://www.grouvee.com/games/97159-parcel-corps/;Sep 3, 2024;;Billy Goat Entertainment Ltd;Secret Mode;Action;;0;PC
Book Travelers A Royal Story Collectors Edition;https://www.grouvee.com/games/102274-book-travelers-a-royal-story-collectors-edition/;Sep 4, 2024;;Big Fish Games;Big Fish Games;Adventure , Minigame Collection , Puzzle;;0;PC
Elon and the Divine Proof;https://www.grouvee.com/games/102447-elon-and-the-divine-proof/;Sep 4, 2024;;;;Adventure , Platformer;;0;PC, Xbox One, Xbox Series X|S
Garbanzo Quest;https://www.grouvee.com/games/102394-garbanzo-quest/;Sep 4, 2024;;;;Platformer;;0;PC
Garlant My Story;https://www.grouvee.com/games/102856-garlant-my-story/;Sep 4, 2024;;;;Adventure , Role-Playing , Shooter , Simulation;;0;Nintendo Switch, PC
Northend Tower Defense;https://www.grouvee.com/games/102326-northend-tower-defense/;Sep 4, 2024;;;Gamersky;Strategy;;0;PC
Cato;https://www.grouvee.com/games/100840-cato/;Sep 5, 2024;;Team Woll;GCORES PUBLISHING;Platformer , Puzzle;;0;Linux, Mac, PC
G-Mode Archives+: Bokujō Monogatari: Life & Love;https://www.grouvee.com/games/101113-g-mode-archives-bokujo-monogatari-life-love/;Sep 5, 2024;;Natsume;G-mode, Inc.;Role-Playing , Simulation;Bokujō Monogatari , G-Mode Archives;0;Nintendo Switch, PC
CalorieMate Liquid For Game Creators;https://www.grouvee.com/games/101438-caloriemate-liquid-for-game-creators/;Sep 11, 2024;;;;Platformer;;0;PC
Crossroads Fatal Truths Collectors Edition;https://www.grouvee.com/games/102350-crossroads-fatal-truths-collectors-edition/;Sep 11, 2024;;Big Fish Games;Big Fish Games;Adventure , Puzzle;;0;Android, Mac, PC, iPad, iPhone
Demolish & Build 3;https://www.grouvee.com/games/102381-demolish-build-3/;Sep 11, 2024;;Demolish Games S.A.;Demolish Games S.A.;Action , Adventure , Simulation , Strategy;;0;Nintendo Switch, PC, PlayStation 5, Xbox One, Xbox Series X|S
The Adventure of Ninomae Ina'nis;https://www.grouvee.com/games/102339-the-adventure-of-ninomae-inanis/;Sep 11, 2024;;;;Shoot 'Em Up;;0;PC
Cat God Ranch;https://www.grouvee.com/games/102638-cat-god-ranch/;Sep 12, 2024;;;;Card Game , Simulation , Strategy;;0;NEC PC-9801
Grapple Dogs: Cosmic Canines;https://www.grouvee.com/games/102515-grapple-dogs-cosmic-canines/;Sep 12, 2024;;Medallion Games;Super Rare Games;Platformer;;0;Nintendo Switch, PC, Xbox Series X|S
Tenshi no Uta Collection;https://www.grouvee.com/games/100034-tenshi-no-uta-collection/;Sep 12, 2024;;Riot;Edia;Compilation , Role-Playing;Tenshi no Uta;0;Nintendo Switch
The Hokkaido Serial Murder Case: The Okhotsk Disappearance ~Memories in Ice, Tearful Figurine~;https://www.grouvee.com/games/99128-the-hokkaido-serial-murder-case-the-okhotsk-disappearance-memories-in-ice-tearful-figurine/;Sep 12, 2024;;Armor Project , GAME STUDIO Inc. , Kadokawa Games , room6 LLC.;G-mode, Inc.;Adventure;Yuji Horii Mysteries;0;Nintendo Switch, PC
Hamsterball Potatos Great Escape;https://www.grouvee.com/games/102898-hamsterball-potatos-great-escape/;Sep 13, 2024;;;;Action , Adventure;;0;PC
How We Die;https://www.grouvee.com/games/103012-how-we-die/;Sep 13, 2024;;;PsychoFlux Entertainment;Action , Adventure , Card Game;;0;PC
Shroom and Gloom;https://www.grouvee.com/games/102768-shroom-and-gloom/;Sep 13, 2024;;;;Card Game;;0;PC
Abnormal1999 The Compass and the Sand;https://www.grouvee.com/games/102154-abnormal1999-the-compass-and-the-sand/;Sep 15, 2024;;;;Adventure , Horror , Puzzle;;0;PC
American Truck Simulator - Arkansas;https://www.grouvee.com/games/102229-american-truck-simulator-arkansas/;Sep 16, 2024;;SCS Software;SCS Software;Driving/Racing , Simulation;;0;PC
Fairy Tail: Beach Volleyball Havoc;https://www.grouvee.com/games/101122-fairy-tail-beach-volleyball-havoc/;Sep 16, 2024;;Tiny Cactus Studio;Kodansha Ltd.;Sports;Fairy Tail;0;PC
Hands of Necromancy II;https://www.grouvee.com/games/102642-hands-of-necromancy-ii/;Sep 16, 2024;;;;Action , First-Person Shooter;;0;PC
"Death end re;Quest: Code Z";https://www.grouvee.com/games/102312-death-end-request-code-z/;Sep 18, 2024;;Compile Heart, Inc.;Idea Factory;Role-Playing;Galapagos RPG;0;Nintendo Switch, PlayStation 4, PlayStation 5
Train Sim World 5;https://www.grouvee.com/games/102065-train-sim-world-5/;Sep 18, 2024;;Dovetail Games;Dovetail Games;Simulation;Train Sim World;0;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Anno 1800 - Pirate Cove Pack;https://www.grouvee.com/games/101500-anno-1800-pirate-cove-pack/;dimanche 16 juillet 1905;;;;;;0;PC
Sammy Jukes: Twin Lakes;https://www.grouvee.com/games/101643-sammy-jukes-twin-lakes/;Sep 19, 2024;;;;Adventure;;0;PC
Tetsudou Nippon! Rosen Tabi EX: Tozan Densha Odakyu Hakone-hen;https://www.grouvee.com/games/100645-tetsudou-nippon-rosen-tabi-ex-tozan-densha-odakyu-hakone-hen/;Sep 19, 2024;;Sonic Powered Co.,Ltd.;Sonic Powered Co.,Ltd.;Driving/Racing , Simulation;Japanese Rail Sim;0;Nintendo Switch, PC, PlayStation 4
Faaast Penguin;https://www.grouvee.com/games/102399-faaast-penguin/;Sep 20, 2024;;historia Inc.;historia Inc.;Driving/Racing;;0;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Matchbox Driving Adventures;https://www.grouvee.com/games/99943-matchbox-driving-adventures/;Sep 20, 2024;;Casual Brothers Games;Outright Games;Driving/Racing;Matchbox;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Poppy Playtime: Chapter 2;https://www.grouvee.com/games/101829-poppy-playtime-chapter-2/;Sep 20, 2024;;MOB Games;MOB Games;Adventure , Puzzle;Playtime;0;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Pretty Girls Game Collection 4;https://www.grouvee.com/games/101077-pretty-girls-game-collection-4/;Sep 20, 2024;;ZOO Corporation;Funbox Media Ltd. , eastasiasoft;Compilation , Puzzle;Pretty Girls;0;Nintendo Switch, PlayStation 4
BRAZILIAN DRUG DEALER 3: I OPENED A PORTAL TO HELL IN THE FAVELA TRYING TO REVIVE MIT AIA I NEED TO CLOSE IT;https://www.grouvee.com/games/102445-brazilian-drug-dealer-3-i-opened-a-portal-to-hell-in-the-favela-trying-to-revive-mit-aia-i-need-to-close-it/;Sep 21, 2024;;;;First-Person Shooter;;0;PC
Class of 09 The Flip Side;https://www.grouvee.com/games/101648-class-of-09-the-flip-side/;Sep 23, 2024;;;;Visual Novel;;0;Mac, PC
Cursed Fables Before the Clock Strikes Collectors Edition;https://www.grouvee.com/games/102360-cursed-fables-before-the-clock-strikes-collectors-edition/;Sep 23, 2024;;Elephant AR;Big Fish Games;Adventure , Puzzle;;0;Mac, PC
Echo Point Nova;https://www.grouvee.com/games/102431-echo-point-nova/;Sep 24, 2024;;Greylock Studio;Greylock Studio;First-Person Shooter;;0;PC
Tales Up;https://www.grouvee.com/games/101782-tales-up/;Sep 24, 2024;;;;Adventure , Role-Playing;;0;Android, PC, iPhone
The Forever Winter;https://www.grouvee.com/games/101753-the-forever-winter/;Sep 24, 2024;;Fun Dog Studios;Fun Dog Studios;Shooter;;0;PC
9th Dawn Remake;https://www.grouvee.com/games/102101-9th-dawn-remake/;Sep 25, 2024;;Valorware;Valorware;Action , Role-Playing;9th Dawn;0;PC
Cat Rescue Story;https://www.grouvee.com/games/101524-cat-rescue-story/;Sep 26, 2024;;Tivola International, LLC;Bigben Interactive GmbH;Role-Playing;;0;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Refuted Wind;https://www.grouvee.com/games/102672-refuted-wind/;Sep 26, 2024;;;;Horror;;0;PC
Hotel 12th;https://www.grouvee.com/games/103007-hotel-12th/;Sep 27, 2024;;;;Adventure , Horror , Puzzle , Simulation;;0;PC
NHL 25;https://www.grouvee.com/games/101794-nhl-25/;Sep 27, 2024;;EA Vancouver;EA Sports;Hockey;NHL , NHL;0;PlayStation 5, Xbox Series X|S
Natsu no Sagashimono ~What We Found That Summer~;https://www.grouvee.com/games/101613-natsu-no-sagashimono-what-we-found-that-summer/;Sep 27, 2024;;;Kagura Games;Role-Playing , Simulation , Visual Novel;;0;PC
Infinite Blue;https://www.grouvee.com/games/101680-infinite-blue/;Sep 30, 2024;;Gluten Free Games;Gluten Free Games;Simulation;;0;Mac, PC
Legacy of Kain Collection;https://www.grouvee.com/games/101023-legacy-of-kain-collection/;Sep 30, 2024;;Crystal Dynamics, Inc. , Silicon Knights, Inc.;Square Enix;Compilation;Legacy of Kain;0;Evercade
Thyria;https://www.grouvee.com/games/101971-thyria/;Sep 30, 2024;;;;Role-Playing , Strategy;;0;PC
A Corgi's Cozy Hike;https://www.grouvee.com/games/101308-a-corgis-cozy-hike/;mardi 1 octobre 2024;;Scalisco;Scalisco;Action-Adventure , Platformer;;0;Mac, PC
Agent Simulator;https://www.grouvee.com/games/100275-agent-simulator/;mardi 1 octobre 2024;;Studio Gamebit;Studio Gamebit;Action;;0;Meta Quest, PC
Aim Camp;https://www.grouvee.com/games/102166-aim-camp/;Oct 1, 2024;;;;Action , First-Person Shooter , Shooter , Simulation;;0;PC
Ark II;https://www.grouvee.com/games/86089-ark-ii/;mardi 1 octobre 2024;;Studio Wildcard;Studio Wildcard;Action-Adventure;ARK;0;PC
Deep Rock Galactic: Rogue Core;https://www.grouvee.com/games/98030-deep-rock-galactic-rogue-core/;Q4 2024;;Ghost Ship Games;Ghost Ship Publishing;First-Person Shooter;Deep Rock Galactic;0;PC
Detective Dotson;https://www.grouvee.com/games/100487-detective-dotson/;mardi 1 octobre 2024;;Masala Games Private Limited;Masala Games Private Limited;Adventure;;0;PC
Flea!2;https://www.grouvee.com/games/99072-flea2/;Oct 1, 2024;;Lowtek Games;Lowtek Games;Platformer;Flea!;0;Dreamcast, Evercade, Nintendo Entertainment System, PC
Forever Space: First Person Edition;https://www.grouvee.com/games/101656-forever-space-first-person-edition/;Oct 1, 2024;;Pinhead Games;Pinhead Games;Adventure;;0;PC
Guntouchables;https://www.grouvee.com/games/100514-guntouchables/;mardi 1 octobre 2024;;game swing;game swing;Action;;0;PC
Holstin;https://www.grouvee.com/games/98660-holstin/;Q4 2024;;SONKA;SONKA;Action , Horror;;0;PC
Light Odyssey;https://www.grouvee.com/games/97068-light-odyssey/;mardi 1 octobre 2024;;SSUN Games;Gravity , SSUN Games;Action;;0;PC
Little Big Adventure: Twinsen’s Quest;https://www.grouvee.com/games/100580-little-big-adventure-twinsens-quest/;mardi 1 octobre 2024;;[2.21];Microïds;Adventure;Little Big Adventure;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Mariachi Undead;https://www.grouvee.com/games/98787-mariachi-undead/;Q4 2024;;Upside Down Bird;Upside Down Bird;Action-Adventure , Music/Rhythm , Shoot 'Em Up , Shooter;;0;PC
Metal Suits;https://www.grouvee.com/games/100515-metal-suits/;mardi 1 octobre 2024;;Eggtart;Eggtart;Action;;0;PC
Moving Houses;https://www.grouvee.com/games/101708-moving-houses/;Oct 1, 2024;;Gord Games;Gord Games;Puzzle , Simulation;;0;PC
Music Power Up;https://www.grouvee.com/games/100266-music-power-up/;mardi 1 octobre 2024;;microStudio;microStudio;Simulation;;0;PC
Münch;https://www.grouvee.com/games/100155-munch/;mardi 1 octobre 2024;;Mac n Cheese Games;Mac n Cheese Games;Action , Role-Playing;;0;PC
Otherskin;https://www.grouvee.com/games/100475-otherskin/;mardi 1 octobre 2024;;The Game Atelier;FDG Entertainment;Action , Shooter;;0;PC
RTE Worlds;https://www.grouvee.com/games/98062-rte-worlds/;mardi 1 octobre 2024;;;;Action-Adventure;;0;PC
RealSports Collection;https://www.grouvee.com/games/101086-realsports-collection/;mardi 1 octobre 2024;;Atari;Atari SA;Compilation , Sports;RealSports;0;Atari 2600
RoadOut;https://www.grouvee.com/games/100370-roadout/;mardi 1 octobre 2024;;Rastrolabs Game Studio;DANGEN Entertainment;Action-Adventure , Driving/Racing;;0;PC
Skybase;https://www.grouvee.com/games/101433-skybase/;mardi 1 octobre 2024;;;;Action;;0;PC
Söldner-X Complete Collection;https://www.grouvee.com/games/99540-soldner-x-complete-collection/;mardi 1 octobre 2024;;SideQuest Studios;eastasiasoft;Compilation , Shoot 'Em Up;Söldner-X;0;Nintendo Switch
The Bustling World;https://www.grouvee.com/games/98691-the-bustling-world/;mardi 1 octobre 2024;;FireWo Games;FireWo Games;Role-Playing , Simulation;;0;PC
Toads of the Bayou;https://www.grouvee.com/games/96190-toads-of-the-bayou/;Q4 2024;;La Grange Studios;Sold Out;Card Game , Strategy;;0;PC
Toaplan Arcade 4;https://www.grouvee.com/games/101768-toaplan-arcade-4/;Q4 2024;;Toaplan Co., Ltd.;Tatsujin;Compilation;Toaplan Arcade;0;Evercade
Travel On, Pigeon!;https://www.grouvee.com/games/100336-travel-on-pigeon/;Q4 2024;;Fog Angler;Fog Angler;Music/Rhythm , Puzzle;;0;PC
Liar's Bar;https://www.grouvee.com/games/101954-liars-bar/;Oct 2, 2024;;Curve Animation;Curve Animation;Card Game , Trivia/Board Game;;0;PC
Divinity Chess;https://www.grouvee.com/games/102420-divinity-chess/;Oct 3, 2024;;;;Strategy;;0;Mac, PC
Gaming Cafe Simulator;https://www.grouvee.com/games/101688-gaming-cafe-simulator/;Oct 3, 2024;;Prapancha Studios;Prapancha Studios;Simulation;;0;PC
Disney Pixel RPG;https://www.grouvee.com/games/100687-disney-pixel-rpg/;Oct 7, 2024;;;GungHo Online Entertainment;Role-Playing;Disney;0;Android, iPad, iPhone
Alice's Lullaby;https://www.grouvee.com/games/101693-alices-lullaby/;Oct 8, 2024;;Ape Law;Ape Law;Action-Adventure;;0;PC
MagicTowerReset;https://www.grouvee.com/games/101772-magictowerreset/;Oct 8, 2024;;;;Adventure , Role-Playing , Strategy;;0;PC
Pro Philosopher 2: Governments & Grievances;https://www.grouvee.com/games/102370-pro-philosopher-2-governments-grievances/;Oct 8, 2024;;;;Educational;;0;PC
Spin Hero;https://www.grouvee.com/games/102828-spin-hero/;Oct 8, 2024;;;;Card Game , Role-Playing;;0;PC
Build The Sun;https://www.grouvee.com/games/101792-build-the-sun/;Oct 9, 2024;;PUNKCAKE Délicieux;;Simulation , Strategy;;0;Linux, Mac, PC
DICEOMANCER;https://www.grouvee.com/games/102195-diceomancer/;Oct 10, 2024;;;;Card Game , Strategy;;0;PC
Simulakros;https://www.grouvee.com/games/102356-simulakros/;Oct 10, 2024;;Sirio Games;Dear Villagers;Action , Shooter;;0;PC
Sky Oceans: Wings for Hire;https://www.grouvee.com/games/97124-sky-oceans-wings-for-hire/;Oct 10, 2024;;Octeto Studios;PQube;Role-Playing;;0;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Nick Jr. Party Adventure;https://www.grouvee.com/games/101520-nick-jr-party-adventure/;Oct 11, 2024;;Melbot Studios;Outright Games;Platformer , Puzzle;Nickelodeon;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Soulbind: Tales Of The Underworld;https://www.grouvee.com/games/103047-soulbind-tales-of-the-underworld/;Oct 11, 2024;;Rubedo Games;Rubedo Games;Action-Adventure , Platformer;;0;Mac, PC, PlayStation 4, PlayStation 5
Transformers: Galactic Trials;https://www.grouvee.com/games/102484-transformers-galactic-trials/;Oct 11, 2024;;;;;Transformers;0;PC, PlayStation 5, Xbox One, Xbox Series X|S
Gun Frog;https://www.grouvee.com/games/101747-gun-frog/;Oct 12, 2024;;;;Action;;0;PC
Primal Rift;https://www.grouvee.com/games/102794-primal-rift/;Oct 13, 2024;;;;Role-Playing;;0;PC
The Broken Ceiling;https://www.grouvee.com/games/101859-the-broken-ceiling/;Oct 13, 2024;;;;Horror;;0;PC
