Titre;Date de sortie;D�veloppeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Ultros;Feb 13, 2024;Hadoque;Kepler Interactive;Action-Adventure;;3,6;PC, PlayStation 4, PlayStation 5
Pokémon Trading Card Game Pocket;Aug 8, 2024;;The Pokémon Company;Card Game;Pokémon , Pokémon TCG;3,24;Android, iPad, iPhone
Snufkin: Melody of Moominvalley;Mar 7, 2024;Hyper Games;Hyper Games , Raw Fury;Adventure;Moomins;3,71;Mac, Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Once Human;Jul 9, 2024;Starry Studio;Starry Studio;Action-Adventure , Simulation;;3,13;PC
Harry Potter: Quidditch Champions;Sep 3, 2024;Unbroken Studios;WB Games;Sports;Harry Potter;2,67;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S
Diablo IV: Vessel of Hatred;Oct 01, 2024;Blizzard Entertainment;Blizzard Entertainment;Action-Adventure , Role-Playing;Diablo;3,33;Mac, PC, PlayStation 5, Xbox Series X|S
Cryptmaster;May 9, 2024;Akupara Games;Akupara Games;Adventure , Role-Playing;;3,48;PC
Brothers: A Tale of Two Sons Remake;Feb 28, 2024;Avantgarden;505 Games;Adventure;;3,18;PC, PlayStation 5, Xbox Series X|S
SteamWorld Heist II;Aug 8, 2024;Thunderful;Thunderful;Adventure;SteamWorld;3,95;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
LEGO Horizon Adventures;Nov 14, 2024;Guerrilla Games , PlayStation Studios , Studio Gobo;PlayStation Publishing LLC , Sony Computer Entertainment America , Spike Chunsoft;Action-Adventure;Horizon , LEGO;2,59;Nintendo Switch, PC, PlayStation 5
Lil' Guardsman;Jan 23, 2024;Hilltop Studios;Versus Evil , tinyBuild;Adventure;;3,67;PC
Skull & Bones;Feb 16, 2024;Ubisoft Singapore;Ubisoft Entertainment;Action-Adventure;;2,29;Amazon Luna, PC, PlayStation 5, Xbox Series X|S
Until Then;Jun 25, 2024;Polychroma Games;Maximum Entertainment;Adventure;;4,48;PC
