Titre;Date de sortie;D�veloppeur;Editeur;Genres;Franchise;Note Moyenne;Plateformes
Disco Samurai;Jan 1, 2024;Pixel Fiber Games;We Dig Games;Action , Music/Rhythm;;0;PC
Dodge This;Jan 1, 2024;Lionia;;Action , Shooter;;0;PC
Dragon Ball Project: Multi;Jan 1, 2024;Ganbarion Co,, Ltd,;Namco Bandai Games Inc,;MOBA;Dragon Ball;0;Android, PC, iPad, iPhone
Earthion;Jan 1, 2024;Ancient;Limited Run Games;Shoot 'Em Up;;0;Genesis, Nintendo Switch, PlayStation 5
Emberbane;Jan 1, 2024;Hamlet Games;Hamlet Games;Action;;0;PC
Every Day We Fight;Jan 1, 2024;Signal Space Lab;Hooded Horse;Strategy;;0;PC
Fool's End;Jan 1, 2024;;;Action , Platformer;;0;PC
Forgotlings;Jan 1, 2024;TroughLine Games;Hitcents;Action-Adventure;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Forgotten But Unbroken;Jan 1, 2024;Centurion Developments;MicroProse Software, Inc,;Strategy;;0;PC
Fretless - The Wrath of Riffson;Jan 1, 2024;Ritual Studios;Playdigious;Role-Playing;;0;PC
Godzilla X Kong: Titan Chasers;Jan 1, 2024;Tilting Point;Tilting Point;Strategy;Godzilla , King Kong;0;Android
Grifford Academy;Jan 1, 2024;LandShark Games;;Role-Playing;;0;PC
Heart Of Muriet;Jan 1, 2024;CRATR,games , Microtale;CRATR,games , Microtale;Real-Time Strategy , Strategy;;0;PC
Hero,EXE;Jan 1, 2024;Mystery Egg Games;Top Hat Studios, Inc;Action-Adventure , Card Game , Role-Playing;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Hidden in My Paradise;Jan 1, 2024;Ogre Pixel;Ogre Pixel;Simulation;;0;Linux, Mac, PC
Immortal Hunters;Jan 1, 2024;Admiral Games;Admiral Games;Action-Adventure , Brawler , Role-Playing;;0;Mac, PC
Into the Dead: Our Darkest Days;Jan 1, 2024;PikPok;PikPok;Action , Simulation;Into the Dead;0;PC
John Carpenter's Toxic Commando;Jan 1, 2024;Saber Interactive;Focus Home Interactive;First-Person Shooter;;0;PC, PlayStation 5, Xbox Series X|S
Jump Ship;Jan 1, 2024;Keepsake Games;Keepsake Games;First-Person Shooter , Shooter;;0;PC
Kingmakers;Jan 1, 2024;;tinyBuild;;;0;
Legends of Old;Jan 1, 2024;;;Role-Playing;;0;PC
Little Problems;Jan 1, 2024;Posh Cat Studios;PlayStack;Adventure;;0;PC
Little Sim World;Jan 1, 2024;;;Simulation;;0;Mac, PC
Magical Bakery;Jan 1, 2024;Superlumen;Soedesco;Simulation;;0;PC
Mariachi Legends;Jan 1, 2024;Halberd Studios;Freedom Games;Action-Adventure;;0;PC
Mars Tactics;Jan 1, 2024;Takibi Games;Hooded Horse;;;0;PC
Mexico, 1921, A Deep Slumber,;Jan 1, 2024;Mácula Interactive;Mácula Interactive;Adventure;;0;PC
Mind Over Magnet;Jan 1, 2024;Game Maker's Toolkit;Game Maker's Toolkit;Puzzle;;0;PC
Minigolf Blast;Jan 1, 2024;;Top Meadow;Golf;;0;PC
NEO BERLIN 2087;Jan 1, 2024;;;;;0;
Ninja Slayer: Neo-Saitama in Flames;Jan 1, 2024;Skeleton Crew Studio;ABC Animation , Kadokawa Games;Action;;0;PC
Obscurity: Unknown Threat;Jan 1, 2024;Obscure Creations;Obscure Creations;First-Person Shooter , Shooter;;0;Linux, Mac, PC
Once Upon a Puppet;Jan 1, 2024;Flatter Than Earth;;Adventure , Platformer , Puzzle;;0;PC
Petal Crash 2;Jan 1, 2024;Blastwing , Friend & Fairy;GalaxyTrail Games;Puzzle;Petal Crash;0;
Planetiles;Jan 1, 2024;MythicOwl;The Iterative Collective;Puzzle;;0;
RunMan Turbo;Jan 1, 2024;Tom Sennett;Tom Sennett;Platformer;RunMan;0;PC
Runa & The Chaikurú Legacy;Jan 1, 2024;Fanny Pack Studios;Fanny Pack Studios;Platformer;;0;Linux, Mac, PC
ShapeHero Factory;Jan 1, 2024;Asobism;Asobism;Real-Time Strategy , Simulation , Strategy;;0;PC
Sky Defense: War Duty;Jan 1, 2024;;Horus Entertainment;Action;;0;Android, iPhone
Sky Oceans: Wings for Hire;Jan 1, 2024;Octeto Studios;PQube;Role-Playing;;0;PC
Spanky!;Jan 1, 2024;;;Platformer;;0;PC
Starminer;Jan 1, 2024;Cool And Good Games;Paradox Arc;Real-Time Strategy , Simulation , Strategy;;0;PC
Stay with Me! Alien Abduction Story;Jan 1, 2024;Dreams of Heaven;Dreams of Heaven;Adventure;;0;Linux, Mac, PC
Steel Seed;Jan 1, 2024;Storm in a Teacup;Storm in a Teacup;Action-Adventure;;0;PC, PlayStation 5, Xbox Series X|S
Supermoves;Jan 1, 2024;Makea Games;Makea Games;Action , Minigame Collection , Platformer , Sports;;0;PC
Tales of Seikyu;Jan 1, 2024;ACE Entertainment;ACE Entertainment , Sold Out;Adventure , Simulation;;0;Nintendo Switch, PC
The Crust;Jan 1, 2024;VEOM Studio;VEOM Studio;Strategy;;0;PC
The Lost Wild;Jan 1, 2024;Great Ape Games;Annapurna Interactive;Action-Adventure;;0;PC
The Night Wanderer;Jan 1, 2024;Mighty Koi;Mighty Koi;Action-Adventure;;0;PC, PlayStation 5, Xbox Series X|S
The Phantom;Jan 2, 2024;Art Of Play Interactive;Art Of Play Interactive;Brawler;The Phantom;0;PC
The Starbites: Taste of Desert;Jan 2, 2024;IKINA GAMES;IKINA GAMES;Role-Playing;;0;PC, PlayStation 5, Xbox Series X|S
Tidy Cauldron;Jan 2, 2024;Purring Campfire;Purring Campfire;Puzzle;;0;PC
Towers of Aghasba;Jan 2, 2024;Dreamlit Games;;Action-Adventure , Role-Playing;;0;PC, PlayStation 5
Umami Grove;Jan 2, 2024;Pomshine Games;DANGEN Entertainment;Adventure;;0;PC
Unawake;Jan 2, 2024;RealityArts Studio;Toplitz-Productions;Action;;0;PC
Under Canopies;Jan 2, 2024;Novemtails;Novemtails;Simulation;;0;PC
Urban Jungle;Jan 2, 2024;Kylyk Games;Assemble Entertainment;Simulation;;0;PC
Vivaland;Jan 2, 2024;;HypeTrain Digital;Simulation;;0;PC
Wheel World;Jan 2, 2024;Messhof;Annapurna Interactive;Action-Adventure , Adventure , Simulation , Sports;;0;PC
Yes, Your Grace: Snowfall;Jan 2, 2024;Brave At Night;Brave At Night;Role-Playing , Simulation;Yes, Your Grace;0;PC
Climb Challenge - Find Items Cyberpunk;Jan 3, 2024;Hede;Hede;Action-Adventure , Puzzle;;0;Linux, Mac, PC
TRAMCITY HAKODATE;Jan 4, 2024;TRAMWORKS;TRAMWORKS;Driving/Racing , Simulation;;0;PC
BIKE RIDE 3D;Jan 5, 2024;;;Driving/Racing;;0;PC
Stay Still;Jan 6, 2024;;ASYLUM Games;;;0;
Supernormal;Jan 8, 2024;;;;;0;
NovaX;Jan 9, 2024;;;Action-Adventure;;0;PC
Despair: Blood Curse;Jan 10, 2024;;;Horror;;0;PC
Devil May Cry: Peak of Combat;Jan 10, 2024;;;Action;;0;Android
Frostrain;Jan 11, 2024;STEWDIO;Jungle Game Lab;Strategy;;0;PC
Metal Ascension;Jan 11, 2024;;;;;0;
ARRIVAL: ZERO EARTH;Jan 12, 2024;;;;;0;PC
Angel at Dusk;Jan 12, 2024;Akiragoya;Henteko Doujin , Sanuk Games;Shoot 'Em Up;;0;Nintendo Switch, PC
Mortisomem;Jan 12, 2024;;;Horror;;0;PC
Sovereign Syndicate;Jan 15, 2024;;;Role-Playing;;0;PC
Toxic Bomb;Jan 15, 2024;Locomalito;;Action , Platformer;;0;PC
Toxic Tomb;Jan 15, 2024;Locomalito;;Action , Platformer;;0;PC
Ravendawn;Jan 16, 2024;Tavernlight Games;Tavernlight Games;MMORPG;;0;PC
77th: The Game;Jan 17, 2024;Lavatsj Games;Lavatsj Games;Puzzle;;0;PC
Distant Sun;Jan 17, 2024;;;Action-Adventure , First-Person Shooter , Role-Playing;;0;PC
No Case Should Remain Unsolved;Jan 17, 2024;;;Visual Novel;;0;Nintendo Switch, PC
Floomy;Jan 18, 2024;;;Platformer;;0;PC
New Cycle;Jan 18, 2024;Core Engage;Daedalic Entertainment;Simulation;;0;PC
Three Kingdoms Zhao Yun;Jan 18, 2024;;ETime Studio;Role-Playing;;0;PC
Apex Heroines;Jan 19, 2024;Xiaoxiao;Leoful;Action , Action-Adventure , Role-Playing;;0;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Gordian Rooms 2 A Curious Island;Jan 19, 2024;Crimsonite Games;Crimsonite Games;Adventure , Puzzle;;0;PC
Jailbreaker;Jan 23, 2024;;;;;0;
Little Known Galaxy;Jan 23, 2024;;;Adventure;;0;Mac, PC
Remnant Records;Jan 23, 2024;Noctiluca;Noctiluca;Horror;;0;PC
Dracula Awakens;Jan 24, 2024;;;Horror;;0;PC
Plastomorphosis;Jan 24, 2024;;;Horror;;0;PC
Toribash Next;Jan 24, 2024;Nabi Studios;Nicalis, Inc,;Simulation , Strategy;Toribash;0;PC
Darkcean;Jan 25, 2024;;;Action;;0;PC
Macross: Shooting Insight;Jan 25, 2024;Kaminari Games;Bushiroad;Shoot 'Em Up;Macross;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Lorhaven: Cursed War;Jan 26, 2024;GoldenGod Games;GoldenGod Games;Strategy;;0;PC
Minimalist Tower Defense;Jan 26, 2024;;;Strategy;;0;PC
Chronique des Silencieux;Jan 29, 2024;Pierre Feuille Studio;Pierre Feuille Studio;Adventure;;0;Linux, Mac, PC
Poppy Playtime: Chapter 3;Jan 30, 2024;MOB Games;MOB Games;Adventure , Puzzle;Playtime;0;Nintendo Switch, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Postmouse;Jan 30, 2024;;The Animation Workshop;Adventure , Platformer;;0;PC
Don't Pee;Feb 1, 2024;;;;;0;PC
Dont Pee;Feb 1, 2024;;;Adventure , Horror , Simulation;;0;PC
Exotic Fighter;Feb 1, 2024;Eric Hodges , External Revenue LLC;Eric Hodges;Fighting;;0;PC
Project Demigod;Feb 1, 2024;;;;;0;PC
GUNVOLT RECORDS: Cychronicle;Feb 5, 2024;Inti Creates Co,, Ltd,;Inti Creates Co,, Ltd,;Music/Rhythm;Azure Striker Gunvolt;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Tales of Spark;Feb 5, 2024;;;Action-Adventure , Role-Playing;;0;PC
Connected Hearts Cost of Beauty Collectors Edition;Feb 6, 2024;;;Adventure , Puzzle;;0;PC
Connected Hearts Cost of Beauty Collectors Edition;Feb 6, 2024;;;Adventure , Puzzle;;0;PC
WitchHand;Feb 7, 2024;;;Card Game , Real-Time Strategy;;0;PC
Illang;Feb 8, 2024;Challengers Games;Challengers Games;Puzzle , Role-Playing , Strategy;;0;Android, Nintendo Switch, PlayStation 5, Xbox Series X|S, iPhone
Monster Tiles TD: Tower Wars;Feb 11, 2024;;;Strategy;;0;PC
Shrimp,io;Feb 12, 2024;;;Action , Strategy;;0;Amstrad CPC, Android
FROGUE;Feb 14, 2024;;;Action , Platformer , Puzzle;;0;PC, PlayStation 4, Xbox Series X|S
Folgore;Feb 14, 2024;;;Brawler;;0;PC
GENIE Reprise;Feb 14, 2024;;eastasiasoft;Adventure , Simulation;;0;PlayStation 5, Xbox Series X|S
Clash II;Feb 15, 2024;PrimeBit Games S,A,;PrimeBit Games S,A,;Strategy;;0;PC
Maid of the Dead;Feb 15, 2024;Qureate;Arc System Works Co,, Ltd, , Qureate;Action , Shoot 'Em Up , Shooter;;0;Nintendo Switch, PC
Pearls of Atlantis: The Cove;Feb 15, 2024;;Legacy Interactive Inc,;Puzzle;;0;PC
Shovel Pirate;Feb 15, 2024;Neutronized;Neutronized;Platformer;;0;PC
That's Not My Neighbor;Feb 15, 2024;;;;;0;PC
Yatagarasu: Enter the Eastward;Feb 15, 2024;PDW:Hotapen;PDW:Hotapen;Fighting;Yatagarasu;0;Arcade, PC
Christmas Stories The Legend of Toymakers Collectors Edition;Feb 16, 2024;Elephant Games;Big Fish Games;Puzzle;;0;PC
Hope is Gone;Feb 16, 2024;;;Horror;;0;
The Legend of Heroes: Trails of Cold Steel III / Trails of Cold Steel IV;Feb 16, 2024;Nihon Falcom Corp,;NIS America, Inc, , NIS Europe;Compilation , Role-Playing;The Legend of Heroes , Trails;0;PlayStation 5
Night Out;Feb 19, 2024;;;Platformer , Puzzle;;0;PC
Xeno Runners;Feb 19, 2024;;;Action , Driving/Racing , Platformer;;0;PC
BEASTWATCH: Meat & Mayhem;Feb 20, 2024;;;Horror;;0;PC
Ooka Ooka Adventure;Feb 20, 2024;;;Platformer , Puzzle;;0;PC
Plane Accident;Feb 20, 2024;;Duality Games , HeartBeat Games;Educational , Flight Simulator , Simulation;;0;PC
Geometry Survivor;Feb 21, 2024;;;Action;;0;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Myth of Empires;Feb 21, 2024;;;;;0;PC
Shin-chan: Shiro and the Coal Town;Feb 22, 2024;h,a,n,d, Inc,;Limited Run Games , Neos Corporation;Adventure;Shin Chan;0;Nintendo Switch, PC
9-Bit Armies: A Bit Too Far;Feb 23, 2024;Petroglyph Games Inc,;Petroglyph Games Inc,;Real-Time Strategy;;0;PC
CHERNO;Feb 23, 2024;;;Action , Adventure , Horror;;0;PC
Gods Plan;Feb 23, 2024;;;Adventure , Horror , Puzzle;;0;PC
Isle of Maligree;Feb 23, 2024;;;Adventure;;0;Mac, PC
Mimic Logic;Feb 23, 2024;;;;;0;
Mystery of Melody Memorial;Feb 23, 2024;Ryan Silberman;Ryan Silberman;Adventure , Music/Rhythm , Role-Playing;;0;PC
Windowkill;Feb 23, 2024;;;Shoot 'Em Up;;0;PC
Spark Vs The Marshmallows;Feb 25, 2024;;;Action , Platformer;;0;PC
Gods Against Machines;Feb 26, 2024;;;;;0;PC
Pocket Fishing;Feb 26, 2024;Ultimate Games S,A,;Ultimate Games S,A,;Fishing;;0;Nintendo Switch
Alone in the crowd;Feb 27, 2024;;;Adventure;;0;PC
Cats Love Boxes;Feb 28, 2024;;;Adventure , Puzzle;;0;Linux, PC
Escape the Arcade;Feb 28, 2024;Julie & Anders Bjørnskov;;Adventure , Puzzle;;0;Playdate
STAR WARS: Dark Forces Remaster;Feb 28, 2024;;;Action , First-Person Shooter;;0;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Ad Infernum;Feb 29, 2024;Glass Knuckle Games;Glass Knuckle Games;First-Person Shooter , Horror;;0;PC
Matsukeke BURST!;Feb 29, 2024;;SmileBoom;Puzzle;;0;Nintendo Switch
OLLLO;Feb 29, 2024;;SmileBoom;Action , Puzzle;;0;Nintendo Switch
The C64 Collection 3;Feb 29, 2024;Apex Computer Productions , Beck-Tech , First Star Software, Inc, , Graftgold Ltd, , Hewson Consultants Ltd, , K-Byte , Maniacs of Noise;Retro Games;Compilation;The C64 Collection;0;Evercade
Animals Drop;Mar 1, 2024;Zakym;Zakym;Puzzle;;0;Nintendo Switch, PlayStation 4
Corgi's Travel;Mar 1, 2024;Nerd Games;Nerd Games;Adventure;;0;Nintendo Switch
VoxelScaper;Mar 1, 2024;Catiger Studio;Catiger Studio;Simulation;;0;Linux, Mac, PC
Amazing Weekend Search and Relax Collectors Edition;Mar 2, 2024;;HH-Games;Puzzle;;0;PC
Return Alive;Mar 4, 2024;KOG Studios;KOG Studios;Action , Shooter;;0;PC
Athena Crisis;Mar 5, 2024;Nakazawa Tech;Null Games;Strategy;;0;Linux, Mac, PC
CRUX;Mar 5, 2024;;;First-Person Shooter;;0;PC
S,T,A,L,K,E,R,: Legends of the Zone Trilogy;Mar 6, 2024;GSC Game World;GSC Game World;First-Person Shooter , Role-Playing;S,T,A,L,K,E,R,;0;Nintendo Switch, PlayStation 4, Xbox One
Potions: A Curious Tale;Mar 7, 2024;Stumbling Cat;Hawthorn Games , Stumbling Cat;Action-Adventure , Role-Playing;;0;Linux, Mac, PC
Top Racer Collection;Mar 7, 2024;Gremlin Interactive Ltd,;QuByte Interactive;Compilation , Driving/Racing;Top Gear;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Barbotine;Mar 8, 2024;;;Horror;;0;PC
Cosmic Reach;Mar 8, 2024;FinalForEach Ltd,;;;;0;Linux, PC
Make It Stop!;Mar 8, 2024;Chubby Bubble Games;Chubby Bubble Games;Shooter , Vehicular Combat;;0;PC
Summerhouse;Mar 8, 2024;;Future Friends Games;Simulation;;0;Mac, PC
Exanimum The Silent Call;Mar 11, 2024;;;Adventure , Horror;;0;PC
Stellar Settlers: Space Base Builder;Mar 11, 2024;Tinymice Entertainment;Rogue Duck Interactive;Simulation , Strategy;;0;PC
CAT & ONION;Mar 12, 2024;;;;;0;PC
Avoo;Mar 13, 2024;;;Trivia/Board Game;;0;PC
Corbid A Colorful Adventure;Mar 13, 2024;;;Adventure , Puzzle;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Uootoy 3671;Mar 13, 2024;Mindware;Mindware;Platformer , Puzzle;;0;PC
revere;Mar 13, 2024;RetroCloudStudios;;Adventure;;0;PC
Road to Exotics!;Mar 14, 2024;JGABRIB;;Action , Driving/Racing , Simulation , Sports;;0;PC
Zofia;Mar 14, 2024;;;Action , Role-Playing;;0;PC
Bloody Hallowfest;Mar 15, 2024;;;Horror;;0;PC
PJ Masks Power Heroes: Mighty Alliance;Mar 15, 2024;Petoons Studio;Outright Games;Action , Platformer;PJ Masks;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
FourPoint:prologue;Mar 19, 2024;;;Action , Adventure;;0;PC
Slice & Dice;Mar 20, 2024;;;;;0;PC
Ex Astris;Mar 21, 2024;Hypergryph , Nous Wave Studio;Hypergryph;Adventure , Role-Playing;;0;Android, iPhone
Reverse Collapse: Code Name Bakery;Mar 21, 2024;Mica Team;X,D, Network Inc,;Role-Playing , Strategy;Girls Frontline;0;Android, Nintendo Switch, PC, iPhone
Thunder Helix;Mar 21, 2024;;;Action , Flight Simulator , Simulation;;0;PC
4D Golf;Mar 22, 2024;CodeParade;;Golf , Puzzle;;0;Linux, Mac, PC
Momo and the Mine;Mar 22, 2024;Tamboril Studio;;Platformer;;0;PC
Froggo's Adventure: Verdant Venture;Mar 23, 2024;;;Platformer;;0;PC
Town of Sins;Mar 25, 2024;;Nutaku Publishing;Card Game;;0;PC
Animal Kart Racer 2;Mar 26, 2024;;;Action , Driving/Racing;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Boomeroad;Mar 26, 2024;Bandai Namco Entertainment;Phoenixx;Action-Adventure;;0;PC
Bulwark: Falconeer Chronicles;Mar 26, 2024;Tomas Sala;Wired Productions;Simulation , Strategy;Falconeer;0;PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Nottolot;Mar 26, 2024;Bandai Namco Entertainment;Phoenixx;;;0;PC
Outpost: Infinity Siege;Mar 26, 2024;;Lightning Games;Strategy;;0;PC
AutoForge;Mar 27, 2024;Siege Games;Siege Games;Simulation , Strategy;;0;PC
Fancyland;Mar 27, 2024;;;Horror;;0;PC
Necrosmith 2;Mar 27, 2024;Alawar Entertainment;Alawar Entertainment;Strategy;;0;PC
Neoproxima;Mar 27, 2024;;;Adventure , Visual Novel;;0;PC
CD 2: Trap Master;Mar 28, 2024;;;Strategy;;0;PC
Claw Machine Sim;Mar 28, 2024;;;Simulation , Sports;;0;PC
Doll Impostor;Mar 28, 2024;;;Action , Adventure , Puzzle , Strategy;;0;PC
Hunchback's Dungeon;Mar 28, 2024;;Digerati Distribution;Action , Role-Playing;;0;PC
Missile Dancer 2;Mar 28, 2024;Terarin Games;Terarin Games;Shooter;;0;Nintendo Switch
Muv-Luv / Muv-Luv Alternative Remastered Double Pack;Mar 28, 2024;ixtl;ixtl;Adventure;Muv-Luv;0;Nintendo Switch
Radirgy 2;Mar 28, 2024;RS34;Beep Japan;Shoot 'Em Up;Radirgy;0;Nintendo Switch, PlayStation 4, PlayStation 5
Starseed: Asnia Trigger;Mar 28, 2024;JoyCity Entertainment;Com2Us;Role-Playing , Shooter;;0;Android, PC, iPad, iPhone
We Are Not Alone;Mar 28, 2024;Stasis Booth Games;Stasis Booth Games;Adventure;;0;Linux, Mac, PC
Winning Post 10 2024;Mar 28, 2024;;Tecmo Koei Co,, Ltd,;Driving/Racing;Winning Post;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
A Divine Guide To Puzzle Solving;Mar 29, 2024;;;Puzzle;;0;PC
Anidu: Animal Dust Puppet’s Adventure;Mar 29, 2024;;;Platformer , Puzzle;;0;PC
Anomaly Exit;Mar 31, 2024;;;Adventure , Puzzle;;0;PC
Nope Challenge;Mar 31, 2024;Happy Manic;Happy Manic;Action , Horror;;0;Meta Quest
Centum;Apr 2024;Hack the Publisher;Serenity Forge;Adventure;;0;PC, Xbox Series X|S
NBA Superstars;Apr 2024;Play Mechanix;Raw Thrills;Basketball;NBA;0;Arcade
The Gecko Gods;Apr 2024;Louis Waloschek;Super Rare Games;Platformer , Puzzle;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
The Phantom;Q2 2024;;;Brawler;;0;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
Unsheltered;Apr 2024;Exponential Games;Exponential Games;Action-Adventure;;0;PC
Alone or Together;Apr 2, 2024;;;Puzzle;;0;PC
Criminal Archives Murder in the Pages Collectors Edition;Apr 2, 2024;;;Adventure , Puzzle;;0;PC
Saviorless;Apr 2, 2024;Empty Head Games;Dear Villagers;Action-Adventure , Platformer;;0;Linux, Mac, PC
The Genesis Order;Apr 2, 2024;NLT Media;;Adventure , Puzzle;;0;Linux, Mac, PC
Anonymous Hacker Simulator;Apr 3, 2024;;;Simulation;;0;PC
Nudel Tag;Apr 4, 2024;;Antoine Cherel;;;0;Linux, Mac, Nintendo Switch, PC
PuzzMix;Apr 5, 2024;Inti Creates Co,, Ltd,;Inti Creates Co,, Ltd,;Puzzle;;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S
Withering Rooms;Apr 5, 2024;Moonless Formless;Perp Games;;;0;PC
Political Punchers: 2024 Arena;Apr 8, 2024;;;Fighting;;0;Mac, PC
Final Factory;Apr 9, 2024;Never Games Limited;Never Games Limited;Simulation , Strategy;;0;PC
Sketchy's Contract;Apr 9, 2024;;;First-Person Shooter , Horror;;0;PC
Tetra Tactics;Apr 9, 2024;Adrian Marple , Jabari Alii , manadream;Jabari Alii;Card Game , Strategy;;0;Mac, PC
Anomaly Loop;Apr 10, 2024;;;Adventure , Puzzle , Simulation;;0;PC
Underspace;Apr 10, 2024;Pastaspace Interactive;Camlann Games;Action-Adventure;;0;PC
Yet Another Fantasy Title (YAFT);Apr 10, 2024;Atomic Wolf;Atomic Wolf , Games Operators;;;0;
Yet Another Fantasy Title (YAFT);Apr 10, 2024;Atomic Wolf;Atomic Wolf , Games Operators;;;0;
Altair Gou no Satsujin;Apr 11, 2024;;Orange inc,;Adventure;;0;Android, Nintendo Switch, PlayStation 4, PlayStation 5, iPhone
Bomber Drone;Apr 11, 2024;;;Action;;0;Meta Quest
Case Files: Behind Closed Doors;Apr 11, 2024;Think Ten Media Group;Think Ten Media Group;Adventure;Case Files;0;PC, PlayStation 4
Cat Gets Medieval;Apr 11, 2024;LetMeowt Games LLC;LetMeowt Games LLC;Action , Role-Playing;;0;PC
Self Defense Dojo;Apr 11, 2024;;;Simulation;;0;PC
Sophia the Traveler;Apr 11, 2024;Memo Gogo;Thermite Games;Puzzle;;0;Nintendo Switch, PC
Persona 5: The Phantom X;Apr 12, 2024;Black Wings Game Studio , P Studio;Perfect World;Role-Playing;Persona , Persona 5 , Shin Megami Tensei;0;Android, PC, iPhone
one hell of a maid;Apr 15, 2024;;;Adventure , Horror;;0;PC
BIG SHOTS;Apr 18, 2024;;MyDearest Inc,;Action;;0;Meta Quest, PC, PlayStation 5
Sunsoft is Back! Retro Game Selection;Apr 18, 2024;SunSoft;Red Art Games , SunSoft;Compilation;;0;Nintendo Switch, PC, PlayStation 5, Xbox Series X|S
ColorBlend FX: Desaturation;Apr 19, 2024;Pi-Dev Bulgaria;;Action-Adventure , Platformer , Puzzle;;0;PC
Black Cotton: Wuneng;Apr 20, 2024;Wěi Jiān;Game Equation Studio;Action , Role-Playing;;0;PC
Destination Paradise;Apr 20, 2024;Seven Sails;Seven Sails;Puzzle;;0;Mac, PC, PlayStation 5
Forest Keeper;Apr 22, 2024;;;Action , First-Person Shooter , Shooter;;0;PC
Jawbreaker;Apr 23, 2024;;;Action , Horror;;0;PC
Dr, Robotnik's Ring Racers;Apr 24, 2024;Kart Krew;;Driving/Racing;;0;Linux, Mac, PC
Oddsparks: An Automation Adventure;Apr 24, 2024;Massive Miniteam;HandyGames;Strategy;;0;PC
Puss in Boots: Purrfect Adventures;Apr 24, 2024;Demenci Games;Demenci Games;Platformer;;0;Nintendo Switch
Robotnik's Ring Racers;Apr 24, 2024;;;Driving/Racing;;0;PC
Combat Collection Pack;Apr 25, 2024;Wolf Team;Zuiki;Compilation;;0;
Megaton Musashi W: Wired;Apr 25, 2024;;Level-5 Inc,;Action , Role-Playing;Megaton Musashi;0;Nintendo Switch, PC, PlayStation 4, PlayStation 5
Wanko to Asobou! Mezase Dog Trainer!;Apr 25, 2024;;Nippon Columbia;Simulation;;0;Nintendo Switch
Class of Heroes 1 & 2 Complete Edition;Apr 26, 2024;Acquire;PQube;Compilation , Role-Playing;Class of Heroes;0;Nintendo Switch, PC, PlayStation 5
Pools;Apr 26, 2024;;;Adventure , Simulation;;0;PC
Rusty's Retirement;Apr 26, 2024;;;;;0;PC
Rusty's Retirement;Apr 26, 2024;Mister Morris Games;Mister Morris Games;Simulation;;0;PC
Rusty's Retirement;Apr 26, 2024;Mister Morris Games;Mister Morris Games;Simulation , Strategy;;0;PC
Super Dragon Punch Force 3;Apr 26, 2024;Talent Digital Art;Talent Digital Art;Fighting;;0;Android, Mac, PC, iPad, iPhone
Densha De D: Burning Stage;Apr 26, 2024;;;;;0;PC
Hidden Object Chronicles Poisoned Truth Collectors Edition;Apr 27, 2024;Do Games Limited;Do Games Limited;Adventure , Puzzle;;0;PC
Hidden Object Secrets The Whitefield Murder Collectors Edition;Apr 27, 2024;Do Games Limited;Do Games Limited;Adventure , Puzzle;;0;Mac, PC
Infinite Chef;Apr 27, 2024;R74n;R74n;Simulation;;0;Browser
Aqatillion;Apr 30, 2024;Massive Face Games;Massive Face Games;Role-Playing;;0;PC
LIRR Commuter: New York–Long Beach, Hempstead & Hicksville;Apr 30, 2024;;;;;0;PC
Piko Collection 4;Apr 30, 2024;Acclaim Studios Manchester , C&E INC, , GameOver-Games, Ltd , Graphic State Limited , Interactive Studios , Krome Studios Melbourne , Realtime Associates, Inc, , Technopop, Inc, , Vivid Image , Zeus Software;Piko Interactive LLC;Compilation;Piko Interactive Collection;0;Evercade
Sunsoft Collection 2;Apr 30, 2024;SunSoft;SunSoft;Compilation;;0;Evercade
Bobble Wobble;May 1, 2024;;;Puzzle;;0;Meta Quest
Sift Heads Cartels;May 2, 2024;;;Action , Adventure;;0;PC
The Political Machine 2024;May 2, 2024;Stardock Corporation;Stardock Corporation;Simulation , Strategy;The Political Machine;0;Mac, PC
Dudelings: Arcade Sportsball;May 6, 2024;Heavy Element;Heavy Element;Sports;;0;PC
Lesson Learned: Cult of the Elizabeth;May 6, 2024;;Gaming Factory S,A,;Strategy;;0;PC
Fay's Factory;May 8, 2024;;;Role-Playing;;0;PC
